Area,Continent,Scenario_1_A,Scenario_12_SA,Scenario_11_SA,Scenario_11_LostGDP
Norway,Europe,435.2,158.0,136.9,-7.8
Canada,Americas,1563.0,920.8,784.0,-5.4
Nigeria,Africa,288.4,90.3,71.4,-3.5
South Africa,Africa,47.1,31.9,31.7,-3.6
Lithuania,Europe,0.4,0.2,0.2,-2.8
USA,Americas,5617.1,3501.1,3082.6,-1.6
Russia,Asia,3878.6,1956.7,1658.7,0.4
Cyprus,Europe,0.0,0.0,0.0,-0.5
Greece,Europe,2.0,1.5,1.5,0.5
Denmark,Europe,34.6,18.1,15.8,1.1
Poland,Europe,35.4,22.7,21.9,1.1
Austria,Europe,3.4,1.0,0.8,1.3
Rest of Latin America,Americas,1597.8,1039.7,888.0,1.9
Ireland,Europe,3.1,1.5,1.4,1.6
UK,Europe,261.4,122.2,105.1,2.2
Switzerland,Europe,0.0,0.0,0.0,2.3
Africa OPEC,Africa,742.1,208.6,330.8,2.4
Malta,Europe,0.0,0.0,0.0,2.5
Luxembourg,Europe,0.0,0.0,0.0,2.5
Malaysia,Asia,133.5,41.2,34.8,2.7
New Zealand,Oceania,9.3,3.3,2.9,2.7
Italy,Europe,36.3,21.8,18.5,2.8
Estonia,Europe,0.0,0.0,0.0,2.8
France,Europe,6.6,4.4,3.7,2.9
Romania,Europe,21.1,8.7,7.7,3.0
Turkey,Asia,15.9,9.1,8.0,3.0
Belgium,Europe,0.0,0.0,0.0,3.0
Rest of world,Other,1086.2,295.5,246.8,3.5
Sweden,Europe,0.0,0.0,0.0,3.4
Finland,Europe,0.0,0.0,0.0,3.4
Australia,Oceania,404.7,227.7,212.2,4.0
Spain,Europe,1.6,1.1,1.0,4.2
Slovenia,Europe,0.3,0.2,0.2,4.2
Macedonia,Europe,0.0,0.0,0.0,4.5
Japan,Asia,1.6,0.5,0.5,4.5
Rest of Africa,Africa,264.9,152.5,128.1,4.5
Germany,Europe,48.9,29.0,26.7,4.6
Hungary,Europe,3.3,1.1,0.9,4.8
Czech Republic,Europe,5.5,3.6,3.5,4.7
Portugal,Europe,0.0,0.0,0.0,4.8
Netherlands,Europe,80.5,44.8,41.5,5.0
Colombia,Americas,116.4,64.2,56.7,5.1
Croatia,Europe,2.3,0.8,0.7,5.1
Brazil,Americas,648.0,327.4,271.6,5.4
Iceland,Europe,0.0,0.0,0.0,6.3
Mexico,Americas,406.3,169.0,144.5,6.8
Slovakia,Europe,0.2,0.1,0.1,6.8
China,Asia,1967.6,1158.0,1045.7,7.1
Indonesia,Asia,293.0,122.9,110.9,7.3
Rest of Annex I,Other,11.9,7.7,6.5,7.5
South Korea,Asia,0.5,0.2,0.2,8.9
Ukraine,Europe,71.9,43.3,39.9,8.9
Taiwan,Asia,0.0,0.0,0.0,9.6
Rest of ASEAN,Asia,167.5,72.5,61.7,10.0
Bulgaria,Europe,2.0,1.3,1.3,10.2
Latvia,Europe,0.0,0.0,0.0,12.0
Kazakhstan,Asia,531.1,277.4,232.4,13.9
Saudi Arabia,Asia,1797.9,128.6,461.7,2.0
India,Asia,272.6,136.1,125.2,13.7
Argentina,Americas,220.7,119.5,107.4,14.7
OPEC excl Venezuela,Other,2805.5,135.9,619.7,9.2